,id,name,metacritic,released_year,platforms,developers,genres,publishers
43,10004,Mages of Mystralia,75.0,2017,"PC, Xbox One, PlayStation 4, Nintendo Switch",Borealys Games,"Action, Adventure, Indie",Borealys Games
85,10008,Sudden Strike 4,77.0,2017,"macOS, iOS, Linux, PC, PlayStation 4","Kalypso Media, Kite Games","Action, Strategy","Kalypso Media, Kalypso"
207,10020,Arizona Sunshine,81.0,2016,"PC, PlayStation 4","Vertigo Games, Jaywalkers Interactive","Action, Adventure, Indie",Vertigo Games
249,10024,The Keep,61.0,2014,"PC, macOS, Nintendo 3DS, Nintendo Switch",CINEMAX,"RPG, Indie",Cinemax
291,10028,Space Engineers,68.0,2013,"PC, Xbox One",Keen Software House,"Action, Strategy, Simulation, Indie",Keen Software House
300,10029,Get Even,75.0,2017,"PC, Xbox One, PlayStation 4","BANDAI NAMCO Entertainment America, The Farm 51","Action, Adventure, Indie","Bandai Namco Entertainment, BANDAI NAMCO Entertainment US"
359,10035,HITMAN,83.0,2017,"Linux, macOS, PC, Xbox One, PlayStation 4","Feral Interactive, Square Enix, IO Interactive","Action, Shooter","Square Enix, Feral Interactive, Warner Bros. Interactive"
379,10037,Europa Universalis IV,87.0,2013,"PC, Linux, macOS",Paradox Development Studio,Strategy,Paradox Interactive
401,10039,Tyranny,80.0,2016,"macOS, Linux, PC",Obsidian Entertainment,RPG,Paradox Interactive
413,10040,Stellaris,78.0,2016,"Linux, PC, Nintendo Switch, macOS",Paradox Development Studio,"Strategy, Simulation",Paradox Interactive
424,10041,The Great Whale Road,61.0,2017,"PC, Linux, macOS",Sunburned Games,"Adventure, RPG, Strategy, Simulation, Indie",Sunburned Games
510,10049,Hitman: Codename 47,73.0,2000,PC,IO Interactive,"Action, Shooter","Square Enix, Eidos Interactive"
522,10050,Thief Gold,92.0,1998,PC,Looking Glass Studios,"Action, Simulation",Square Enix
553,10053,Project: Snowblind,76.0,2005,PC,Crystal Dynamics,Action,Square Enix
583,10056,Kane and Lynch: Dead Men,67.0,2007,"PC, Xbox 360, PlayStation 3","Square Enix, IO Interactive","Action, Shooter","Square Enix, Eidos Interactive"
593,10057,Order of War,69.0,2009,PC,Wargaming.net,Strategy,Square Enix
638,10061,Watch Dogs 2,79.0,2016,"PC, PlayStation 4, Xbox One",Ubisoft Montreal,"Action, Adventure",Ubisoft Entertainment
